                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.67206,                0.92227,                0.73612,                0.84467,                0.70711,                0.59633,                0.70581,                0.58219,                0.57266,                 0.7438,                0.70677,                0.50345,                0.68241,                0.78111,                 1.0129,                0.83725,              0.0003268,              0.0003268,              0.0003268
                     71,                0.67125,                0.92392,                0.73027,                0.84694,                0.55934,                0.75688,                0.71791,                0.60055,                0.56273,                0.76147,                0.72019,                0.50965,                 0.6427,                0.76819,                 0.9587,                 0.8309,              0.0003169,              0.0003169,              0.0003169
                     72,                0.66231,                0.91173,                0.71894,                0.85154,                0.61627,                0.68349,                0.71696,                 0.5932,                0.61627,                0.68349,                 0.7194,                0.52289,                0.66275,                0.75367,                 0.9563,                0.83584,               0.000307,               0.000307,               0.000307
                     73,                0.65178,                0.89487,                  0.711,                0.84691,                0.70657,                0.65171,                0.75262,                0.63542,                0.70657,                0.65171,                0.75473,                0.55794,                0.65034,                0.73288,                0.89101,                0.83281,              0.0002971,              0.0002971,              0.0002971
                     74,                0.66078,                0.88732,                0.71467,                0.84333,                0.76895,                0.65644,                0.77367,                 0.6551,                0.76895,                0.65644,                0.77598,                0.55697,                0.62551,                0.74681,                0.87098,                0.82959,              0.0002872,              0.0002872,              0.0002872
                     75,                0.65355,                0.90345,                0.72145,                0.84171,                0.62652,                0.70183,                0.74195,                0.61944,                0.62652,                0.70183,                0.74252,                0.52273,                0.63084,                0.77006,                0.92496,                0.83167,              0.0002773,              0.0002773,              0.0002773
                     76,                0.65444,                0.92379,                0.70478,                0.84861,                0.62308,                0.68807,                0.73665,                0.61415,                0.62308,                0.68807,                 0.7384,                0.53518,                0.65396,                0.73305,                 0.9203,                0.83577,              0.0002674,              0.0002674,              0.0002674
                     77,                0.66188,                0.92074,                0.72254,                0.84825,                0.57447,                0.72018,                0.71792,                0.59409,                 0.5829,                0.70642,                0.71772,                0.51312,                0.64194,                0.72921,                 1.0239,                0.83112,              0.0002575,              0.0002575,              0.0002575
                     78,                0.65094,                0.90378,                0.69389,                0.84371,                0.63596,                0.69725,                0.72442,                0.60252,                0.63354,                0.69725,                0.72524,                0.51894,                 0.6418,                0.74125,                0.94915,                0.83177,              0.0002476,              0.0002476,              0.0002476
                     79,                0.65315,                 0.9111,                0.69136,                0.84616,                 0.6535,                 0.6422,                0.70079,                0.58159,                0.65324,                 0.6422,                0.70207,                0.50678,                0.64312,                0.75414,                 1.0041,                0.83594,              0.0002377,              0.0002377,              0.0002377
                     80,                0.66065,                0.89581,                0.68633,                0.84466,                0.63662,                0.65095,                0.68634,                0.56538,                0.63229,                0.65138,                0.68864,                0.50449,                0.66107,                0.73464,                  1.066,                0.83819,              0.0002278,              0.0002278,              0.0002278
                     81,                0.64868,                0.91044,                0.69649,                0.84266,                0.65339,                0.61009,                0.68514,                0.57242,                0.65339,                0.61009,                0.68808,                0.51481,                0.64783,                 0.7313,                 1.0337,                0.83606,              0.0002179,              0.0002179,              0.0002179
                     82,                0.66534,                0.91265,                0.68633,                0.84575,                0.58552,                0.69725,                0.71344,                0.59458,                0.58552,                0.69725,                0.71422,                0.53018,                0.65409,                0.74267,                 1.0001,                0.83619,               0.000208,               0.000208,               0.000208
                     83,                0.64775,                0.88708,                 0.6825,                0.84713,                0.60267,                0.69579,                0.71514,                0.59172,                0.60046,                0.69725,                0.71585,                0.52349,                0.66059,                0.74932,                 1.0118,                0.83415,              0.0001981,              0.0001981,              0.0001981
                     84,                0.63719,                0.89427,                0.66736,                0.84686,                0.60239,                0.69266,                0.70175,                0.59023,                0.60638,                0.69725,                0.70384,                0.52687,                0.62042,                0.74991,                0.99038,                0.82776,              0.0001882,              0.0001882,              0.0001882
                     85,                0.65033,                0.89644,                0.68938,                0.84808,                0.63299,                0.65667,                 0.7285,                0.61063,                0.63313,                0.66496,                0.73044,                0.54088,                0.63235,                0.75593,                0.98956,                0.82979,              0.0001783,              0.0001783,              0.0001783
                     86,                0.64829,                0.90279,                0.67594,                 0.8456,                0.72066,                0.62721,                0.73946,                0.62475,                0.72066,                0.62721,                0.74084,                0.54483,                0.64314,                0.75357,                 0.9635,                0.83131,              0.0001684,              0.0001684,              0.0001684
                     87,                0.65916,                0.89167,                0.69315,                0.84195,                0.70899,                0.62844,                0.74148,                0.62313,                0.70899,                0.62844,                0.74237,                0.54786,                0.62894,                 0.7409,                0.91368,                 0.8277,              0.0001585,              0.0001585,              0.0001585
                     88,                0.65074,                0.89829,                0.65809,                0.84243,                0.68473,                0.62385,                0.71868,                 0.6024,                0.68473,                0.62385,                0.72072,                0.52306,                0.63358,                0.73752,                0.95163,                0.82662,              0.0001486,              0.0001486,              0.0001486
                     89,                0.63691,                0.87928,                0.65788,                0.84176,                0.58374,                0.71101,                 0.7189,                0.60076,                0.57464,                0.71886,                0.72166,                0.51454,                0.63963,                0.74821,                0.99612,                0.82873,              0.0001387,              0.0001387,              0.0001387
                     90,                0.64206,                0.88535,                0.66663,                0.84463,                0.58913,                0.72018,                0.73447,                0.61925,                0.58457,                0.72936,                0.73681,                0.53071,                0.63441,                0.74107,                0.96397,                0.82874,              0.0001288,              0.0001288,              0.0001288
                     91,                0.63644,                0.85067,                0.72434,                0.83152,                0.64734,                0.61927,                0.67749,                0.56967,                0.64734,                0.61927,                0.68146,                0.51208,                0.64925,                0.73338,                 1.0484,                0.83073,              0.0001189,              0.0001189,              0.0001189
                     92,                0.62587,                0.84772,                0.65681,                0.83517,                0.62595,                0.66514,                0.69986,                 0.5864,                0.62595,                0.66514,                0.70282,                0.51383,                0.66203,                0.74014,                  1.004,                0.83353,               0.000109,               0.000109,               0.000109
                     93,                0.61804,                0.83277,                0.63735,                0.83492,                0.73606,                 0.6055,                0.73784,                0.62398,                0.73606,                 0.6055,                0.74046,                0.52884,                0.65025,                0.74865,                0.95577,                0.82967,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.63433,                0.84267,                0.63036,                0.83451,                0.70442,                0.62312,                0.73903,                0.62574,                0.70442,                0.62312,                0.74093,                0.54284,                0.64134,                0.73972,                0.92606,                 0.8272,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.62295,                0.83015,                0.61638,                0.83418,                0.69538,                 0.6422,                0.73751,                0.61851,                0.69538,                 0.6422,                0.73815,                0.54503,                0.64617,                0.73538,                0.93441,                0.82897,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.62264,                0.83539,                0.61978,                0.82791,                0.66839,                0.67496,                0.73458,                0.61747,                0.66839,                0.67496,                0.73651,                0.53993,                0.64547,                0.73462,                 0.9509,                0.82791,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.62871,                0.83942,                0.60747,                0.82613,                0.69666,                0.64679,                 0.7385,                0.62511,                0.69666,                0.64679,                0.73834,                0.53074,                 0.6272,                 0.7322,                0.94373,                0.82397,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.63203,                0.82794,                0.61873,                0.83715,                0.73108,                0.61009,                0.73464,                0.62348,                0.73108,                0.61009,                0.73452,                0.53221,                0.62931,                0.73839,                0.94404,                0.82481,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.61901,                0.82912,                0.59252,                0.82897,                0.74714,                0.58716,                0.73119,                0.62078,                0.74714,                0.58716,                0.73093,                0.53948,                0.64003,                0.74176,                0.94687,                0.82672,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.62754,                0.84036,                0.60546,                0.83139,                0.75756,                0.57335,                 0.7321,                0.61986,                0.75756,                0.57335,                0.73201,                0.54172,                0.64153,                0.73879,                0.94231,                0.82682,               2.98e-05,               2.98e-05,               2.98e-05
